,reward mean,reward std,unsafe states found,attack
AntBulletEnv-v0/a2c_norm,2275.209923045826,74.84410724351143,0.0,
AntBulletEnv-v0/ppo2_norm,2194.3397237744684,160.19961632280356,0.0,
HalfCheetahBulletEnv-v0/a2c_norm,2195.476215915733,85.2401230686793,0.0,
HalfCheetahBulletEnv-v0/ppo2_norm_tw,2963.0016760566796,194.71127525825474,0.0,
HopperBulletEnv-v0/a2c_norm,1260.829804982753,1080.906346158661,0.0,
HopperBulletEnv-v0/ppo2_norm,1688.6303561477444,980.55126159536,0.0,
HumanoidBulletEnv-v0/ppo2_norm,88.7300129648343,70.43712916095576,0.0,
AntBulletEnv-v0/a2c_norm,627.8226720197517,84.81483193825443,0.0,RS-FGSM
AntBulletEnv-v0/ppo2_norm,1248.2053470102242,254.48932211347915,0.0,RS-FGSM
HalfCheetahBulletEnv-v0/a2c_norm,1067.8527888157057,286.45325382400364,0.0,RS-FGSM
HalfCheetahBulletEnv-v0/ppo2_norm_tw,2608.835341452717,243.52930752030161,0.0,RS-FGSM
HopperBulletEnv-v0/a2c_norm,1304.6659793987203,1070.3803005264845,0.0,RS-FGSM
HopperBulletEnv-v0/ppo2_norm,1706.7087581359444,967.5665780716029,0.0,RS-FGSM
HumanoidBulletEnv-v0/ppo2_norm,75.74049236728422,68.61590606758645,0.0,RS-FGSM
AntBulletEnv-v0/a2c_norm,2242.9753858745053,99.90200951493736,0.0,RS-PGD
AntBulletEnv-v0/ppo2_norm,2175.4419108712254,193.08209468984694,0.0,RS-PGD
HalfCheetahBulletEnv-v0/a2c_norm,2103.781040326366,112.10651021973267,0.0,RS-PGD
HalfCheetahBulletEnv-v0/ppo2_norm_tw,2946.8084613399046,203.51405257634488,0.0,RS-PGD
HopperBulletEnv-v0/a2c_norm,1370.538370986204,1016.7381602400897,0.0,RS-PGD
HopperBulletEnv-v0/ppo2_norm,1712.0270629609254,1008.9969726007454,0.0,RS-PGD
HumanoidBulletEnv-v0/ppo2_norm,87.2514134916922,69.08163824777824,0.0,RS-PGD
